
                                                                                                               Allocation by Site

Method                                                                                                                                                                                                                      Allocation Pressure
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- -------------------
kotlin.collections.builders.MapBuilder.<init>(int)                                                                                                                                                                                       68.26%
java.util.LinkedHashMap.newNode(int, Object, Object, HashMap$Node)                                                                                                                                                                        3.10%
model.ArgumentExpressionsKt.coerceArgumentFields(ViaductSchema$Field, Map)                                                                                                                                                                2.87%
kotlin.collections.MapsKt__MapsKt.plus(Map, Map)                                                                                                                                                                                          2.40%
java.util.HashMap.resize()                                                                                                                                                                                                                2.08%
java.util.ArrayList.iterator()                                                                                                                                                                                                            2.07%
java.util.HashSet.<init>(int, float, boolean)                                                                                                                                                                                             1.74%
model.ArgumentExpressionsKt.argumentsOfExpressions(Map)                                                                                                                                                                                   1.54%
java.util.ArrayList.<init>(int)                                                                                                                                                                                                           1.24%
viaduct.utils.collections.BitVector.lsr()                                                                                                                                                                                                 1.16%
model.ObjectValueScope.field(String, Pair[])                                                                                                                                                                                              1.06%
model.EngineObjectDataEntry$Companion.of(String, ViaductSchema$ObjectField, Object)                                                                                                                                                       0.91%
java.util.LinkedHashMap.sequencedValues()                                                                                                                                                                                                 0.91%
model.ObjectValueScope.<init>(ViaductSchema, ViaductSchema$Object)                                                                                                                                                                        0.90%
model.ObjectEngineResult$GroundKey$Companion.of(ViaductSchema$ObjectField, Arguments$Ground)                                                                                                                                              0.84%
viaduct.graphql.schema.ViaductSchema$TypeExpr.unwrapList()                                                                                                                                                                                0.72%
model.QPlanEngineObjectDataKt.engineObjectDataOf(ViaductSchema$Object, Iterable, boolean)                                                                                                                                                 0.56%
kotlin.collections.builders.ListBuilderKt.arrayOfUninitializedElements(int)                                                                                                                                                               0.52%
java.util.Arrays.copyOf(Object[], int)                                                                                                                                                                                                    0.48%
java.util.LinkedHashMap$LinkedValues.toArray()                                                                                                                                                                                            0.46%
jdk.internal.misc.Unsafe.allocateUninitializedArray(Class, int)                                                                                                                                                                           0.46%
java.util.LinkedHashMap.sequencedEntrySet()                                                                                                                                                                                               0.45%
model.ObjectConstructionKt.coerceOutputValue(ViaductSchema$TypeExpr, Object)                                                                                                                                                              0.37%
model.registry.FieldResolverKt.selectionStampedVariableDefinitions(MaterializeSelectionForest, List, List, Map, Map)                                                                                                                      0.36%
kotlin.collections.MapsKt__MapsKt.toMutableMap(Map)                                                                                                                                                                                       0.30%
