
 Version: 2.1
 Chunks: 1
 Start: 2026-08-21 11:32:13 (UTC)
 Duration: 3 s

 Event Type                              Count  Size (bytes)
=============================================================
 jdk.GCPhaseParallel                      8854        203796
 jdk.PromoteObjectInNewPLAB               1223         20644
 jdk.ModuleExport                          717          7023
 jdk.BooleanFlag                           709         21883
 jdk.ObjectAllocationSample                653         10067
 jdk.ActiveSetting                         359         10360
 jdk.ExecutionSample                       213          2322
 jdk.LongFlag                              196          6400
 jdk.UnsignedLongFlag                      190          6698
 jdk.ModuleRequire                         155          1395
 jdk.InitialEnvironmentVariable            105         12015
 jdk.TenuringDistribution                   90          1012
 jdk.ClassLoaderStatistics                  80          1954
 jdk.Checkpoint                             74        536019
 jdk.SystemProcess                          69         20856
 jdk.InitialSecurityProperty                47          3615
 jdk.ThreadAllocationStatistics             45           442
 jdk.StringFlag                             42          1298
 jdk.IntFlag                                41          1464
 jdk.NativeLibrary                          40          2998
 jdk.DoubleFlag                             32          1410
 jdk.UnsignedIntFlag                        30          1082
 jdk.MetaspaceChunkFreeListSummary          24           432
 jdk.GCReferenceStatistics                  24           240
 jdk.CompilationFailure                     24          1166
 jdk.InitialSystemProperty                  21          1148
 jdk.ClassRedefinition                      20           220
 jdk.GCPhasePauseLevel1                     18           736
 jdk.PromoteObjectOutsidePLAB               16           251
 jdk.SafepointBegin                         16           219
 jdk.ThreadEnd                              15           135
 jdk.ExecuteVMOperation                     15           241
 jdk.ThreadCPULoad                          15           240
 jdk.Compilation                            14           386
 jdk.GCHeapSummary                          12           472
 jdk.MetaspaceSummary                       12           612
 jdk.G1HeapSummary                          12           305
 jdk.GCHeapMemoryPoolUsage                   6           230
 jdk.GarbageCollection                       6           138
 jdk.YoungGarbageCollection                  6            78
 jdk.G1GarbageCollection                     6            78
 jdk.G1MMU                                   6            78
 jdk.EvacuationInformation                   6           167
 jdk.G1EvacuationYoungStatistics             6           164
 jdk.G1EvacuationOldStatistics               6           129
 jdk.G1BasicIHOP                             6           237
 jdk.G1AdaptiveIHOP                          6           248
 jdk.GCCPUTime                               6           102
 jdk.GCPhasePause                            6           138
 jdk.Deoptimization                          6           148
 jdk.CodeCacheStatistics                     6           192
 jdk.ResidentSetSize                         2            34
 jdk.ThreadStart                             2            22
 jdk.GCHeapMemoryUsage                       2            43
 jdk.CPULoad                                 2            38
 jdk.JavaThreadStatistics                    2            22
 jdk.ClassLoadingStatistics                  2            20
 jdk.PhysicalMemory                          2            36
 jdk.CompilerStatistics                      2            58
 jdk.GCConfiguration                         2            50
 jdk.ExceptionStatistics                     2            24
 jdk.Metadata                                1        103157
 jdk.RetransformClasses                      1            15
 jdk.OldObjectSample                         1            32
 jdk.JVMInformation                          1           629
 jdk.OSInformation                           1           249
 jdk.VirtualizationInformation               1            27
 jdk.CPUInformation                          1          1484
 jdk.CPUTimeStampCounter                     1            19
 jdk.CompilerConfiguration                   1            10
 jdk.CodeCacheConfiguration                  1            45
 jdk.GCSurvivorConfiguration                 1            10
 jdk.GCTLABConfiguration                     1            12
 jdk.GCHeapConfiguration                     1            26
 jdk.YoungGenerationConfiguration            1            17
 jdk.ContainerConfiguration                  1            74
 jdk.JavaErrorThrow                          1           113
 jdk.ActiveRecording                         1            47
 jdk.VirtualThreadPinned                     0             0
 jdk.VirtualThreadSubmitFailed               0             0
 jdk.X509Certificate                         0             0
 jdk.X509Validation                          0             0
 jdk.DirectBufferStatistics                  0             0
 jdk.ThreadPark                              0             0
 jdk.JavaMonitorEnter                        0             0
 jdk.JavaMonitorWait                         0             0
 jdk.JavaMonitorInflate                      0             0
 jdk.SyncOnValueBasedClass                   0             0
 jdk.ContinuationFreeze                      0             0
 jdk.ContinuationThaw                        0             0
 jdk.ContinuationFreezeFast                  0             0
 jdk.ContinuationFreezeSlow                  0             0
 jdk.ContinuationThawFast                    0             0
 jdk.ContinuationThawSlow                    0             0
 jdk.ReservedStackActivation                 0             0
 jdk.ClassLoad                               0             0
 jdk.ClassDefine                             0             0
 jdk.RedefineClasses                         0             0
 jdk.ClassUnload                             0             0
 jdk.IntFlagChanged                          0             0
 jdk.UnsignedIntFlagChanged                  0             0
 jdk.LongFlagChanged                         0             0
 jdk.UnsignedLongFlagChanged                 0             0
 jdk.DoubleFlagChanged                       0             0
 jdk.BooleanFlagChanged                      0             0
 jdk.StringFlagChanged                       0             0
 jdk.MetaspaceGCThreshold                    0             0
 jdk.MetaspaceAllocationFailure              0             0
 jdk.MetaspaceOOM                            0             0
 jdk.PSHeapSummary                           0             0
 jdk.SystemGC                                0             0
 jdk.ParallelOldGarbageCollection            0             0
 jdk.OldGarbageCollection                    0             0
 jdk.ObjectCountAfterGC                      0             0
 jdk.PromotionFailed                         0             0
 jdk.Deserialization                         0             0
 jdk.EvacuationFailed                        0             0
 jdk.ConcurrentModeFailure                   0             0
 jdk.SecurityProviderService                 0             0
 jdk.GCPhasePauseLevel2                      0             0
 jdk.GCPhasePauseLevel3                      0             0
 jdk.GCPhasePauseLevel4                      0             0
 jdk.GCPhaseConcurrent                       0             0
 jdk.GCPhaseConcurrentLevel1                 0             0
 jdk.GCPhaseConcurrentLevel2                 0             0
 jdk.AllocationRequiringGC                   0             0
 jdk.G1HeapRegionTypeChange                  0             0
 jdk.JITRestart                              0             0
 jdk.CompilerPhase                           0             0
 jdk.CompilerInlining                        0             0
 jdk.CodeCacheFull                           0             0
 jdk.SafepointStateSynchronization           0             0
 jdk.SafepointCleanup                        0             0
 jdk.SafepointCleanupTask                    0             0
 jdk.SafepointEnd                            0             0
 jdk.Shutdown                                0             0
 jdk.ObjectAllocationInNewTLAB               0             0
 jdk.ObjectAllocationOutsideTLAB             0             0
 jdk.NativeMemoryUsage                       0             0
 jdk.NativeMemoryUsageTotal                  0             0
 jdk.DumpReason                              0             0
 jdk.DataLoss                                0             0
 jdk.ThreadContextSwitchRate                 0             0
