
                                                                                                               Allocation by Site

Method                                                                                                                                                                                                                      Allocation Pressure
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- -------------------
semantics.resolver26.ResolverKt$resolve$3$1.invokeSuspend(Object)                                                                                                                                                                        48.72%
java.util.LinkedHashMap.newNode(int, Object, Object, HashMap$Node)                                                                                                                                                                        5.69%
java.lang.ProcessEnvironment$Variable.valueOfQueryOnly(String)                                                                                                                                                                            5.07%
model.ArgumentExpressionsKt.coerceArgumentFields(ViaductSchema$Field, Map)                                                                                                                                                                3.90%
kotlin.collections.MapsKt__MapsKt.plus(Map, Map)                                                                                                                                                                                          3.82%
model.ArgumentExpressionsKt.argumentsOfExpressions(Map)                                                                                                                                                                                   2.69%
java.util.ArrayList.iterator()                                                                                                                                                                                                            2.52%
java.util.HashMap.resize()                                                                                                                                                                                                                2.22%
java.util.ArrayList.<init>(int)                                                                                                                                                                                                           1.77%
java.util.LinkedHashMap.sequencedEntrySet()                                                                                                                                                                                               1.65%
viaduct.utils.collections.BitVector.lsr()                                                                                                                                                                                                 1.48%
java.util.LinkedHashMap.sequencedValues()                                                                                                                                                                                                 1.17%
model.ObjectValueScope.field(String, Pair[])                                                                                                                                                                                              1.11%
viaduct.graphql.schema.ViaductSchema$TypeExpr.unwrapList()                                                                                                                                                                                1.00%
model.ObjectEngineResult$GroundKey$Companion.of(ViaductSchema$ObjectField, Arguments$Ground)                                                                                                                                              0.99%
kotlin.collections.builders.ListBuilderKt.arrayOfUninitializedElements(int)                                                                                                                                                               0.96%
java.util.HashSet.<init>(int, float, boolean)                                                                                                                                                                                             0.85%
java.util.Collections.singletonIterator(Object)                                                                                                                                                                                           0.83%
model.EngineObjectDataEntry$Companion.of(String, ViaductSchema$ObjectField, Object)                                                                                                                                                       0.82%
model.ArgumentsKt.argumentsOfGround(Map)                                                                                                                                                                                                  0.67%
kotlin.collections.builders.MapBuilder.<init>(int)                                                                                                                                                                                        0.58%
model.QPlanEngineObjectDataKt.engineObjectDataOf(ViaductSchema$Object, Iterable, boolean)                                                                                                                                                 0.56%
kotlin.collections.CollectionsKt__CollectionsJVMKt.createListBuilder()                                                                                                                                                                    0.54%
java.util.Arrays.copyOf(byte[], int)                                                                                                                                                                                                      0.53%
java.util.LinkedHashMap$LinkedEntrySet.iterator()                                                                                                                                                                                         0.53%
