
 Version: 2.1
 Chunks: 1
 Start: 2026-08-21 12:03:14 (UTC)
 Duration: 8 s

 Event Type                              Count  Size (bytes)
=============================================================
 jdk.GCPhaseParallel                     33104        760495
 jdk.PromoteObjectInNewPLAB               3662         61424
 jdk.ObjectAllocationSample               2228         34162
 jdk.ModuleExport                          717          6996
 jdk.BooleanFlag                           709         21883
 jdk.ExecutionSample                       557          6114
 jdk.ActiveSetting                         359         10360
 jdk.ThreadPark                            357         13121
 jdk.TenuringDistribution                  270          3138
 jdk.LongFlag                              196          6400
 jdk.UnsignedLongFlag                      190          6698
 jdk.PromoteObjectOutsidePLAB              155          2362
 jdk.ModuleRequire                         155          1395
 jdk.Checkpoint                            142        929255
 jdk.InitialEnvironmentVariable            105         12015
 jdk.ClassLoaderStatistics                  80          1954
 jdk.SystemProcess                          77         22738
 jdk.MetaspaceChunkFreeListSummary          72          1296
 jdk.GCReferenceStatistics                  72           720
 jdk.GCPhasePauseLevel1                     54          2205
 jdk.ThreadAllocationStatistics             51           501
 jdk.InitialSecurityProperty                47          3615
 jdk.StringFlag                             42          1311
 jdk.IntFlag                                41          1464
 jdk.NativeLibrary                          40          2998
 jdk.GCHeapSummary                          36          1419
 jdk.MetaspaceSummary                       36          1836
 jdk.G1HeapSummary                          36           929
 jdk.DoubleFlag                             32          1410
 jdk.UnsignedIntFlag                        30          1082
 jdk.SafepointBegin                         29           393
 jdk.CompilationFailure                     28          1330
 jdk.ExecuteVMOperation                     28           460
 jdk.InitialSystemProperty                  21          1150
 jdk.ThreadEnd                              20           180
 jdk.ClassRedefinition                      20           220
 jdk.ThreadCPULoad                          20           320
 jdk.GarbageCollection                      18           414
 jdk.YoungGarbageCollection                 18           234
 jdk.G1GarbageCollection                    18           234
 jdk.G1MMU                                  18           234
 jdk.EvacuationInformation                  18           503
 jdk.G1EvacuationYoungStatistics            18           507
 jdk.G1EvacuationOldStatistics              18           405
 jdk.G1BasicIHOP                            18           722
 jdk.G1AdaptiveIHOP                         18           752
 jdk.GCCPUTime                              18           291
 jdk.GCPhasePause                           18           414
 jdk.Compilation                            18           505
 jdk.ThreadStart                             9            99
 jdk.ResidentSetSize                         8           136
 jdk.CPULoad                                 8           152
 jdk.JavaThreadStatistics                    8            88
 jdk.ClassLoadingStatistics                  8            80
 jdk.CompilerStatistics                      8           232
 jdk.ExceptionStatistics                     8           111
 jdk.GCHeapMemoryPoolUsage                   6           231
 jdk.Deoptimization                          6           148
 jdk.CodeCacheStatistics                     6           192
 jdk.OldObjectSample                         4           127
 jdk.GCHeapMemoryUsage                       2            43
 jdk.PhysicalMemory                          2            36
 jdk.GCConfiguration                         2            50
 jdk.Metadata                                1        103157
 jdk.ActiveRecording                         1            47
 jdk.DirectBufferStatistics                  1            23
 jdk.RetransformClasses                      1            15
 jdk.JVMInformation                          1           671
 jdk.OSInformation                           1           249
 jdk.VirtualizationInformation               1            27
 jdk.CPUInformation                          1          1484
 jdk.CPUTimeStampCounter                     1            19
 jdk.CompilerConfiguration                   1            10
 jdk.CodeCacheConfiguration                  1            45
 jdk.GCSurvivorConfiguration                 1            10
 jdk.GCTLABConfiguration                     1            12
 jdk.GCHeapConfiguration                     1            26
 jdk.YoungGenerationConfiguration            1            17
 jdk.ContainerConfiguration                  1            74
 jdk.JavaErrorThrow                          1           113
 jdk.ProcessStart                            0             0
 jdk.SecurityPropertyModification            0             0
 jdk.ThreadSleep                             0             0
 jdk.TLSHandshake                            0             0
 jdk.JavaMonitorEnter                        0             0
 jdk.VirtualThreadStart                      0             0
 jdk.JavaMonitorWait                         0             0
 jdk.JavaMonitorInflate                      0             0
 jdk.VirtualThreadEnd                        0             0
 jdk.SyncOnValueBasedClass                   0             0
 jdk.ContinuationFreeze                      0             0
 jdk.VirtualThreadPinned                     0             0
 jdk.ContinuationThaw                        0             0
 jdk.ContinuationFreezeFast                  0             0
 jdk.VirtualThreadSubmitFailed               0             0
 jdk.ContinuationFreezeSlow                  0             0
 jdk.ContinuationThawFast                    0             0
 jdk.X509Certificate                         0             0
 jdk.ContinuationThawSlow                    0             0
 jdk.ReservedStackActivation                 0             0
 jdk.X509Validation                          0             0
 jdk.ClassLoad                               0             0
 jdk.ClassDefine                             0             0
 jdk.RedefineClasses                         0             0
 jdk.ClassUnload                             0             0
 jdk.IntFlagChanged                          0             0
 jdk.UnsignedIntFlagChanged                  0             0
 jdk.LongFlagChanged                         0             0
 jdk.UnsignedLongFlagChanged                 0             0
 jdk.DoubleFlagChanged                       0             0
 jdk.BooleanFlagChanged                      0             0
 jdk.StringFlagChanged                       0             0
 jdk.MetaspaceGCThreshold                    0             0
 jdk.MetaspaceAllocationFailure              0             0
 jdk.MetaspaceOOM                            0             0
 jdk.PSHeapSummary                           0             0
 jdk.SystemGC                                0             0
 jdk.ParallelOldGarbageCollection            0             0
 jdk.OldGarbageCollection                    0             0
 jdk.ObjectCountAfterGC                      0             0
 jdk.PromotionFailed                         0             0
 jdk.EvacuationFailed                        0             0
 jdk.ConcurrentModeFailure                   0             0
 jdk.GCPhasePauseLevel2                      0             0
 jdk.GCPhasePauseLevel3                      0             0
 jdk.GCPhasePauseLevel4                      0             0
 jdk.GCPhaseConcurrent                       0             0
 jdk.GCPhaseConcurrentLevel1                 0             0
 jdk.GCPhaseConcurrentLevel2                 0             0
 jdk.AllocationRequiringGC                   0             0
 jdk.G1HeapRegionTypeChange                  0             0
 jdk.JITRestart                              0             0
 jdk.CompilerPhase                           0             0
 jdk.CompilerInlining                        0             0
 jdk.CodeCacheFull                           0             0
 jdk.SafepointStateSynchronization           0             0
 jdk.SafepointCleanup                        0             0
 jdk.SafepointCleanupTask                    0             0
 jdk.SafepointEnd                            0             0
 jdk.Shutdown                                0             0
 jdk.ObjectAllocationInNewTLAB               0             0
 jdk.ObjectAllocationOutsideTLAB             0             0
 jdk.NativeMemoryUsage                       0             0
 jdk.NativeMemoryUsageTotal                  0             0
 jdk.DumpReason                              0             0
 jdk.DataLoss                                0             0
 jdk.ThreadContextSwitchRate                 0             0
 jdk.NetworkUtilization                      0             0
 jdk.SymbolTableStatistics                   0             0
 jdk.StringTableStatistics                   0             0
 jdk.NativeMethodSample                      0             0
 jdk.ThreadDump                              0             0
