
                                                                                                               Allocation by Site

Method                                                                                                                                                                                                                      Allocation Pressure
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- -------------------
java.util.Arrays.copyOf(Object[], int, Class)                                                                                                                                                                                            61.53%
java.util.LinkedHashMap.newNode(int, Object, Object, HashMap$Node)                                                                                                                                                                        8.30%
java.util.HashSet.<init>(int, float, boolean)                                                                                                                                                                                             4.45%
java.util.HashMap.resize()                                                                                                                                                                                                                3.90%
java.util.ArrayList.iterator()                                                                                                                                                                                                            2.66%
model.EngineObjectDataEntry$Companion.of(String, ViaductSchema$ObjectField, Object)                                                                                                                                                       1.75%
viaduct.utils.collections.BitVector.lsr()                                                                                                                                                                                                 1.34%
java.util.ArrayList.<init>(int)                                                                                                                                                                                                           1.33%
model.ObjectValueScope.field(String, Pair[])                                                                                                                                                                                              1.18%
viaduct.graphql.schema.ViaductSchema$TypeExpr.unwrapList()                                                                                                                                                                                1.13%
kotlin.collections.CollectionsKt___CollectionsKt.toMutableSet(Iterable)                                                                                                                                                                   1.09%
kotlin.collections.builders.ListBuilderKt.arrayOfUninitializedElements(int)                                                                                                                                                               0.91%
model.ObjectValueScope.<init>(ViaductSchema, ViaductSchema$Object)                                                                                                                                                                        0.84%
model.ObjectEngineResult$GroundKey$Companion.of(ViaductSchema$ObjectField, Arguments$Ground)                                                                                                                                              0.80%
model.QPlanEngineObjectDataKt.engineObjectDataOf(ViaductSchema$Object, Iterable, boolean)                                                                                                                                                 0.78%
kotlin.collections.builders.MapBuilder.<init>(int)                                                                                                                                                                                        0.78%
java.util.ArrayList.<init>(Collection)                                                                                                                                                                                                    0.51%
kotlin.collections.CollectionsKt__CollectionsJVMKt.createListBuilder()                                                                                                                                                                    0.47%
java.util.LinkedHashMap$LinkedValues.toArray()                                                                                                                                                                                            0.37%
java.util.LinkedHashMap.sequencedEntrySet()                                                                                                                                                                                               0.34%
model.ObjectConstructionKt.objectOf(ViaductSchema, String, Function1)                                                                                                                                                                     0.32%
model.testing.GJSchema.lowerOrdinaryOutput(Object, ViaductSchema$TypeExpr, ViaductSchema$TypeExpr)                                                                                                                                        0.32%
java.util.ArrayList.grow(int)                                                                                                                                                                                                             0.29%
kotlin.collections.MapsKt__MapsKt.toMutableMap(Map)                                                                                                                                                                                       0.29%
java.util.Collections.singletonIterator(Object)                                                                                                                                                                                           0.29%
