
 Version: 2.1
 Chunks: 1
 Start: 2026-08-22 17:48:41 (UTC)
 Duration: 3 s

 Event Type                              Count  Size (bytes)
=============================================================
 jdk.GCPhaseParallel                      9598        220512
 jdk.PromoteObjectInNewPLAB               1928         32044
 jdk.ObjectAllocationSample                757         11680
 jdk.ModuleExport                          717          7023
 jdk.BooleanFlag                           709         21883
 jdk.ActiveSetting                         359         10360
 jdk.ExecutionSample                       203          2214
 jdk.LongFlag                              196          6400
 jdk.UnsignedLongFlag                      190          6698
 jdk.ModuleRequire                         155          1395
 jdk.TenuringDistribution                  135          1511
 jdk.InitialEnvironmentVariable            105         12016
 jdk.Checkpoint                             91        577957
 jdk.ClassLoaderStatistics                  80          1954
 jdk.SystemProcess                          79         19471
 jdk.InitialSecurityProperty                47          3615
 jdk.ThreadAllocationStatistics             47           466
 jdk.StringFlag                             42          1299
 jdk.IntFlag                                41          1464
 jdk.NativeLibrary                          40          2998
 jdk.MetaspaceChunkFreeListSummary          36           648
 jdk.GCReferenceStatistics                  36           362
 jdk.DoubleFlag                             32          1410
 jdk.UnsignedIntFlag                        30          1082
 jdk.PromoteObjectOutsidePLAB               28           433
 jdk.GCPhasePauseLevel1                     27          1105
 jdk.CompilationFailure                     25          1207
 jdk.InitialSystemProperty                  21          1081
 jdk.ClassRedefinition                      20           220
 jdk.SafepointBegin                         19           260
 jdk.GCHeapSummary                          18           704
 jdk.MetaspaceSummary                       18           918
 jdk.G1HeapSummary                          18           452
 jdk.ExecuteVMOperation                     18           290
 jdk.ThreadEnd                              13           117
 jdk.Compilation                            13           366
 jdk.ThreadCPULoad                          13           208
 jdk.GarbageCollection                       9           201
 jdk.YoungGarbageCollection                  9           115
 jdk.G1GarbageCollection                     9           115
 jdk.G1MMU                                   9           117
 jdk.EvacuationInformation                   9           249
 jdk.G1EvacuationYoungStatistics             9           245
 jdk.G1EvacuationOldStatistics               9           204
 jdk.G1BasicIHOP                             9           354
 jdk.G1AdaptiveIHOP                          9           363
 jdk.GCCPUTime                               9           138
 jdk.GCPhasePause                            9           205
 jdk.GCHeapMemoryPoolUsage                   6           231
 jdk.Deoptimization                          6           144
 jdk.CodeCacheStatistics                     6           192
 jdk.ExceptionStatistics                     2            26
 jdk.ResidentSetSize                         2            34
 jdk.ThreadStart                             2            22
 jdk.GCHeapMemoryUsage                       2            42
 jdk.OldObjectSample                         2            64
 jdk.CPULoad                                 2            38
 jdk.JavaThreadStatistics                    2            22
 jdk.ClassLoadingStatistics                  2            20
 jdk.PhysicalMemory                          2            36
 jdk.CompilerStatistics                      2            58
 jdk.GCConfiguration                         2            50
 jdk.Metadata                                1        103157
 jdk.JavaErrorThrow                          1           113
 jdk.ActiveRecording                         1           123
 jdk.RetransformClasses                      1            15
 jdk.GCPhasePauseLevel2                      1            28
 jdk.JVMInformation                          1           579
 jdk.OSInformation                           1           249
