
                                                                                                               Allocation by Site

Method                                                                                                                                                                                                                      Allocation Pressure
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- -------------------
semantics.resolver26.ResolverKt$resolve$3$1.invokeSuspend(Object)                                                                                                                                                                        48.13%
java.util.LinkedHashMap.newNode(int, Object, Object, HashMap$Node)                                                                                                                                                                        7.06%
java.util.HashSet.<init>(int, float, boolean)                                                                                                                                                                                             4.57%
jdk.jfr.internal.EventInstrumentation.<clinit>()                                                                                                                                                                                          3.85%
java.util.HashMap.resize()                                                                                                                                                                                                                3.21%
model.ObjectValueScope.field(String, Pair[])                                                                                                                                                                                              2.87%
java.util.ArrayList.iterator()                                                                                                                                                                                                            2.29%
viaduct.utils.collections.BitVector.lsr()                                                                                                                                                                                                 2.23%
model.EngineObjectDataEntry$Companion.of(String, ViaductSchema$ObjectField, Object)                                                                                                                                                       2.18%
java.util.ArrayList.<init>(int)                                                                                                                                                                                                           1.84%
model.ObjectEngineResult$GroundKey$Companion.of(ViaductSchema$ObjectField, Arguments$Ground)                                                                                                                                              1.74%
viaduct.graphql.schema.ViaductSchema$TypeExpr.unwrapList()                                                                                                                                                                                1.17%
kotlin.collections.builders.ListBuilderKt.arrayOfUninitializedElements(int)                                                                                                                                                               0.98%
model.ObjectValueScope.<init>(ViaductSchema, ViaductSchema$Object)                                                                                                                                                                        0.81%
model.QPlanEngineObjectDataKt.engineObjectDataOf(ViaductSchema$Object, Iterable, boolean)                                                                                                                                                 0.78%
kotlin.collections.CollectionsKt___CollectionsKt.toMutableSet(Iterable)                                                                                                                                                                   0.77%
kotlin.collections.builders.MapBuilder.getEntries()                                                                                                                                                                                       0.76%
semantics.arbitrary.ObjectPlan.materializeObject$lambda$0(ObjectPlan, SourceSchemaAdapter, ViaductSchema, String, int, ObjectValueScope)                                                                                                  0.70%
semantics.arbitrary.ListPlan.materialize(ViaductSchema, ViaductSchema$TypeExpr, String, int)                                                                                                                                              0.63%
java.util.Collections.singletonIterator(Object)                                                                                                                                                                                           0.58%
java.lang.invoke.DirectMethodHandle.allocateInstance(Object)                                                                                                                                                                              0.53%
java.util.LinkedHashMap.sequencedEntrySet()                                                                                                                                                                                               0.52%
java.util.concurrent.ConcurrentHashMap.initTable()                                                                                                                                                                                        0.45%
model.ObjectValueScope.setTo(String, Object)                                                                                                                                                                                              0.42%
kotlin.collections.MapsKt__MapsKt.toMutableMap(Map)                                                                                                                                                                                       0.41%
