
 Version: 2.1
 Chunks: 1
 Start: 2026-08-22 17:48:09 (UTC)
 Duration: 6 s

 Event Type                              Count  Size (bytes)
=============================================================
 jdk.GCPhaseParallel                     22398        513384
 jdk.PromoteObjectInNewPLAB               2092         35424
 jdk.ObjectAllocationSample               1500         22758
 jdk.ModuleExport                          710          6970
 jdk.BooleanFlag                           709         21883
 jdk.ThreadPark                            493         18208
 jdk.ExecutionSample                       403          4423
 jdk.ActiveSetting                         359         10360
 jdk.TenuringDistribution                  225          2556
 jdk.LongFlag                              196          6400
 jdk.UnsignedLongFlag                      190          6698
 jdk.Checkpoint                            155        723363
 jdk.ModuleRequire                         155          1395
 jdk.PromoteObjectOutsidePLAB              147          2253
 jdk.InitialEnvironmentVariable            105         12016
 jdk.ClassLoaderStatistics                  80          1954
 jdk.SystemProcess                          79         19436
 jdk.MetaspaceChunkFreeListSummary          64          1152
 jdk.GCReferenceStatistics                  64           642
 jdk.GCPhasePauseLevel1                     55          2227
 jdk.InitialSecurityProperty                47          3615
 jdk.ThreadAllocationStatistics             46           453
 jdk.StringFlag                             42          1314
 jdk.IntFlag                                41          1464
 jdk.NativeLibrary                          40          2998
 jdk.GCHeapSummary                          32          1248
 jdk.MetaspaceSummary                       32          1632
 jdk.G1HeapSummary                          32           815
 jdk.DoubleFlag                             32          1410
 jdk.UnsignedIntFlag                        30          1082
 jdk.CompilationFailure                     28          1344
 jdk.SafepointBegin                         28           381
 jdk.ExecuteVMOperation                     27           441
 jdk.InitialSystemProperty                  21          1074
 jdk.ClassRedefinition                      20           220
 jdk.G1MMU                                  17           221
 jdk.GCCPUTime                              17           253
 jdk.GCPhasePause                           17           397
 jdk.ThreadEnd                              16           144
 jdk.GarbageCollection                      16           362
 jdk.Compilation                            16           444
 jdk.ThreadCPULoad                          16           256
 jdk.YoungGarbageCollection                 15           193
 jdk.G1GarbageCollection                    15           193
 jdk.EvacuationInformation                  15           426
 jdk.G1EvacuationYoungStatistics            15           420
 jdk.G1EvacuationOldStatistics              15           322
 jdk.G1BasicIHOP                            15           592
 jdk.G1AdaptiveIHOP                         15           618
 jdk.GCPhasePauseLevel2                     10           346
 jdk.GCHeapMemoryPoolUsage                   6           228
 jdk.GCPhaseConcurrent                       6           274
 jdk.Deoptimization                          6           144
 jdk.CodeCacheStatistics                     6           192
 jdk.ResidentSetSize                         5            85
 jdk.ExceptionStatistics                     5            65
 jdk.CPULoad                                 5            95
 jdk.JavaThreadStatistics                    5            55
 jdk.ClassLoadingStatistics                  5            50
 jdk.CompilerStatistics                      5           145
 jdk.GCPhaseConcurrentLevel1                 4           149
 jdk.OldObjectSample                         4           128
 jdk.GCHeapMemoryUsage                       2            42
 jdk.MetaspaceGCThreshold                    2            32
 jdk.PhysicalMemory                          2            36
 jdk.GCConfiguration                         2            50
 jdk.Metadata                                1        103157
 jdk.RetransformClasses                      1            15
 jdk.MetaspaceAllocationFailure              1            13
 jdk.OldGarbageCollection                    1            12
 jdk.JavaErrorThrow                          1           113
 jdk.ActiveRecording                         1           116
 jdk.DirectBufferStatistics                  1            23
 jdk.JVMInformation                          1           613
 jdk.OSInformation                           1           249
 jdk.VirtualizationInformation               1            27
 jdk.CPUInformation                          1          1484
 jdk.CPUTimeStampCounter                     1            19
 jdk.CompilerConfiguration                   1            10
 jdk.CodeCacheConfiguration                  1            45
 jdk.GCSurvivorConfiguration                 1            10
 jdk.GCTLABConfiguration                     1            12
 jdk.GCHeapConfiguration                     1            26
 jdk.YoungGenerationConfiguration            1            17
 jdk.ContainerConfiguration                  1            74
 jdk.ContainerCPUUsage                       0             0
 jdk.ContainerCPUThrottling                  0             0
 jdk.ContainerMemoryUsage                    0             0
 jdk.ContainerIOUsage                        0             0
 jdk.ThreadStart                             0             0
 jdk.JavaMonitorEnter                        0             0
 jdk.JavaMonitorWait                         0             0
 jdk.JavaMonitorInflate                      0             0
 jdk.SyncOnValueBasedClass                   0             0
 jdk.ContinuationFreeze                      0             0
 jdk.ContinuationThaw                        0             0
 jdk.ContinuationFreezeFast                  0             0
 jdk.ContinuationFreezeSlow                  0             0
 jdk.ContinuationThawFast                    0             0
 jdk.ContinuationThawSlow                    0             0
 jdk.ReservedStackActivation                 0             0
 jdk.ClassLoad                               0             0
 jdk.ClassDefine                             0             0
 jdk.RedefineClasses                         0             0
 jdk.ClassUnload                             0             0
 jdk.IntFlagChanged                          0             0
 jdk.UnsignedIntFlagChanged                  0             0
 jdk.LongFlagChanged                         0             0
 jdk.UnsignedLongFlagChanged                 0             0
 jdk.DoubleFlagChanged                       0             0
 jdk.BooleanFlagChanged                      0             0
 jdk.StringFlagChanged                       0             0
 jdk.MetaspaceOOM                            0             0
 jdk.PSHeapSummary                           0             0
 jdk.SystemGC                                0             0
 jdk.ParallelOldGarbageCollection            0             0
 jdk.FileForce                               0             0
 jdk.ObjectCountAfterGC                      0             0
 jdk.FileRead                                0             0
 jdk.FileWrite                               0             0
 jdk.SocketRead                              0             0
 jdk.PromotionFailed                         0             0
 jdk.SocketWrite                             0             0
 jdk.EvacuationFailed                        0             0
 jdk.ConcurrentModeFailure                   0             0
 jdk.JavaExceptionThrow                      0             0
 jdk.GCPhasePauseLevel3                      0             0
 jdk.GCPhasePauseLevel4                      0             0
 jdk.GCPhaseConcurrentLevel2                 0             0
 jdk.ProcessStart                            0             0
 jdk.AllocationRequiringGC                   0             0
 jdk.SecurityPropertyModification            0             0
 jdk.G1HeapRegionTypeChange                  0             0
 jdk.JITRestart                              0             0
