
                                                                                                               Allocation by Site

Method                                                                                                                                                                                                                      Allocation Pressure
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- -------------------
model.EngineObjectDataEntry$Companion.of(String, ViaductSchema$ObjectField, Object)                                                                                                                                                      60.29%
java.util.LinkedHashMap.newNode(int, Object, Object, HashMap$Node)                                                                                                                                                                        5.64%
model.ArgumentExpressionsKt.coerceArgumentFields(ViaductSchema$Field, Map)                                                                                                                                                                3.99%
kotlin.collections.MapsKt__MapsKt.plus(Map, Map)                                                                                                                                                                                          3.54%
java.util.HashSet.<init>(int, float, boolean)                                                                                                                                                                                             3.53%
java.util.ArrayList.iterator()                                                                                                                                                                                                            2.91%
java.util.HashMap.resize()                                                                                                                                                                                                                2.39%
model.ArgumentExpressionsKt.argumentsOfExpressions(Map)                                                                                                                                                                                   1.70%
model.ObjectValueScope.field(String, Pair[])                                                                                                                                                                                              1.30%
viaduct.utils.collections.BitVector.lsr()                                                                                                                                                                                                 1.14%
viaduct.graphql.schema.ViaductSchema$TypeExpr.unwrapList()                                                                                                                                                                                1.06%
java.util.LinkedHashMap.sequencedEntrySet()                                                                                                                                                                                               0.88%
model.ObjectEngineResult$GroundKey$Companion.of(ViaductSchema$ObjectField, Arguments$Ground)                                                                                                                                              0.80%
java.util.ArrayList.<init>(int)                                                                                                                                                                                                           0.80%
java.util.LinkedHashMap.sequencedValues()                                                                                                                                                                                                 0.75%
model.QPlanEngineObjectDataKt.engineObjectDataOf(ViaductSchema$Object, Iterable, boolean)                                                                                                                                                 0.60%
semantics.arbitrary.ObjectPlan.materializeObject$lambda$0(ObjectPlan, SourceSchemaAdapter, ViaductSchema, String, int, ObjectValueScope)                                                                                                  0.52%
kotlin.collections.CollectionsKt___CollectionsKt.toMutableSet(Iterable)                                                                                                                                                                   0.46%
kotlin.collections.builders.ListBuilderKt.arrayOfUninitializedElements(int)                                                                                                                                                               0.45%
java.util.Collections.singletonIterator(Object)                                                                                                                                                                                           0.36%
java.util.Arrays.copyOf(Object[], int)                                                                                                                                                                                                    0.35%
kotlin.collections.builders.MapBuilder.<init>(int)                                                                                                                                                                                        0.35%
java.lang.invoke.DirectMethodHandle.allocateInstance(Object)                                                                                                                                                                              0.30%
java.util.LinkedHashMap$LinkedValues.toArray()                                                                                                                                                                                            0.30%
java.util.Collections.singletonMap(Object, Object)                                                                                                                                                                                        0.28%
