
 Version: 2.1
 Chunks: 1
 Start: 2026-08-22 17:11:29 (UTC)
 Duration: 4 s

 Event Type                              Count  Size (bytes)
=============================================================
 jdk.GCPhaseParallel                     15621        358948
 jdk.PromoteObjectInNewPLAB               1635         27328
 jdk.ObjectAllocationSample               1026         15765
 jdk.ModuleExport                          717          7023
 jdk.BooleanFlag                           709         21883
 jdk.ActiveSetting                         359         10360
 jdk.ExecutionSample                       289          3162
 jdk.LongFlag                              196          6400
 jdk.UnsignedLongFlag                      190          6698
 jdk.TenuringDistribution                  165          1800
 jdk.ModuleRequire                         155          1395
 jdk.InitialEnvironmentVariable            105         12015
 jdk.SystemProcess                          88         26779
 jdk.ClassLoaderStatistics                  80          1954
 jdk.Checkpoint                             48        703120
 jdk.InitialSecurityProperty                47          3615
 jdk.ThreadAllocationStatistics             45           446
 jdk.MetaspaceChunkFreeListSummary          44           792
 jdk.GCReferenceStatistics                  44           441
 jdk.StringFlag                             42          1299
 jdk.IntFlag                                41          1464
 jdk.NativeLibrary                          40          2998
 jdk.PromoteObjectOutsidePLAB               39           615
 jdk.GCPhasePauseLevel1                     33          1349
 jdk.DoubleFlag                             32          1410
 jdk.UnsignedIntFlag                        30          1082
 jdk.CompilationFailure                     25          1207
 jdk.GCHeapSummary                          22           863
 jdk.MetaspaceSummary                       22          1122
 jdk.G1HeapSummary                          22           558
 jdk.SafepointBegin                         21           287
 jdk.InitialSystemProperty                  21          1072
 jdk.ClassRedefinition                      20           220
 jdk.ExecuteVMOperation                     20           321
 jdk.ThreadEnd                              15           135
 jdk.ThreadCPULoad                          15           240
 jdk.GarbageCollection                      11           235
 jdk.YoungGarbageCollection                 11           137
 jdk.G1GarbageCollection                    11           137
 jdk.G1MMU                                  11           143
 jdk.EvacuationInformation                  11           308
 jdk.G1EvacuationYoungStatistics            11           293
 jdk.G1EvacuationOldStatistics              11           259
 jdk.G1BasicIHOP                            11           443
 jdk.G1AdaptiveIHOP                         11           454
 jdk.GCCPUTime                              11           175
 jdk.GCPhasePause                           11           247
 jdk.Compilation                            11           309
 jdk.GCHeapMemoryPoolUsage                   6           229
 jdk.Deoptimization                          6           144
 jdk.CodeCacheStatistics                     6           192
 jdk.ExceptionStatistics                     3            39
 jdk.ResidentSetSize                         3            51
 jdk.CPULoad                                 3            57
 jdk.JavaThreadStatistics                    3            33
 jdk.ClassLoadingStatistics                  3            30
 jdk.CompilerStatistics                      3            87
 jdk.ThreadStart                             2            22
 jdk.GCHeapMemoryUsage                       2            41
 jdk.PhysicalMemory                          2            36
 jdk.GCConfiguration                         2            50
 jdk.Metadata                                1        103157
 jdk.JavaErrorThrow                          1           113
 jdk.ActiveRecording                         1           114
 jdk.RetransformClasses                      1            15
 jdk.OldObjectSample                         1            32
 jdk.JVMInformation                          1           569
 jdk.OSInformation                           1           249
 jdk.VirtualizationInformation               1            27
 jdk.CPUInformation                          1          1484
 jdk.CPUTimeStampCounter                     1            19
 jdk.NativeMethodSample                      1            11
 jdk.CompilerConfiguration                   1            10
 jdk.CodeCacheConfiguration                  1            45
 jdk.GCSurvivorConfiguration                 1            10
 jdk.GCTLABConfiguration                     1            12
 jdk.GCHeapConfiguration                     1            26
 jdk.YoungGenerationConfiguration            1            17
 jdk.ContainerConfiguration                  1            74
 jdk.ProcessStart                            0             0
 jdk.ThreadPark                              0             0
 jdk.SecurityPropertyModification            0             0
