
                                                                                                               Allocation by Site

Method                                                                                                                                                                                                                      Allocation Pressure
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- -------------------
semantics.resolver26.ResolverKt$resolve$3$1.invokeSuspend(Object)                                                                                                                                                                        47.65%
java.util.LinkedHashMap.newNode(int, Object, Object, HashMap$Node)                                                                                                                                                                        5.45%
java.util.ArrayList.iterator()                                                                                                                                                                                                            3.69%
model.ArgumentExpressionsKt.coerceArgumentFields(ViaductSchema$Field, Map)                                                                                                                                                                3.66%
model.ArgumentExpressionsKt.argumentsOfExpressions(Map)                                                                                                                                                                                   3.20%
java.util.HashMap.resize()                                                                                                                                                                                                                3.02%
jdk.jfr.internal.JVM.retransformClasses(Class[])                                                                                                                                                                                          2.80%
kotlin.collections.MapsKt__MapsKt.plus(Map, Map)                                                                                                                                                                                          2.68%
java.util.HashSet.<init>(int, float, boolean)                                                                                                                                                                                             2.46%
model.ObjectValueScope.field(String, Pair[])                                                                                                                                                                                              2.38%
viaduct.graphql.schema.ViaductSchema$TypeExpr.unwrapList()                                                                                                                                                                                1.77%
java.util.LinkedHashMap.sequencedEntrySet()                                                                                                                                                                                               1.47%
java.util.LinkedHashMap.sequencedValues()                                                                                                                                                                                                 1.40%
viaduct.utils.collections.BitVector.lsr()                                                                                                                                                                                                 1.38%
kotlin.collections.builders.ListBuilderKt.arrayOfUninitializedElements(int)                                                                                                                                                               1.34%
java.util.ArrayList.<init>(int)                                                                                                                                                                                                           1.32%
model.EngineObjectDataEntry$Companion.of(String, ViaductSchema$ObjectField, Object)                                                                                                                                                       1.27%
model.ArgumentsKt.argumentsOfGround(Map)                                                                                                                                                                                                  0.78%
model.ObjectEngineResult$GroundKey$Companion.of(ViaductSchema$ObjectField, Arguments$Ground)                                                                                                                                              0.74%
kotlin.collections.CollectionsKt___CollectionsKt.toMutableSet(Iterable)                                                                                                                                                                   0.68%
model.QPlanEngineObjectDataKt.engineObjectDataOf(ViaductSchema$Object, Iterable, boolean)                                                                                                                                                 0.68%
model.ObjectValueScope.<init>(ViaductSchema, ViaductSchema$Object)                                                                                                                                                                        0.64%
kotlin.collections.CollectionsKt__CollectionsJVMKt.createListBuilder()                                                                                                                                                                    0.48%
java.util.Collections.singletonIterator(Object)                                                                                                                                                                                           0.45%
kotlin.collections.MapsKt__MapsKt.toMutableMap(Map)                                                                                                                                                                                       0.39%
