
 Version: 2.1
 Chunks: 1
 Start: 2026-08-22 17:03:20 (UTC)
 Duration: 8 s

 Event Type                              Count  Size (bytes)
=============================================================
 jdk.GCPhaseParallel                     31204        718018
 jdk.PromoteObjectInNewPLAB               3837         64181
 jdk.ObjectAllocationSample               2151         32946
 jdk.ModuleExport                          710          6973
 jdk.BooleanFlag                           709         21883
 jdk.ExecutionSample                       586          6426
 jdk.ThreadPark                            518         19141
 jdk.ActiveSetting                         359         10360
 jdk.TenuringDistribution                  300          3487
 jdk.LongFlag                              196          6400
 jdk.UnsignedLongFlag                      190          6698
 jdk.ModuleRequire                         155          1395
 jdk.Checkpoint                            131        834186
 jdk.InitialEnvironmentVariable            105         12015
 jdk.SystemProcess                          86         23068
 jdk.MetaspaceChunkFreeListSummary          84          1512
 jdk.GCReferenceStatistics                  84           841
 jdk.ClassLoaderStatistics                  80          1954
 jdk.GCPhasePauseLevel1                     70          2831
 jdk.PromoteObjectOutsidePLAB               58           912
 jdk.ThreadAllocationStatistics             48           475
 jdk.InitialSecurityProperty                47          3615
 jdk.GCHeapSummary                          42          1651
 jdk.MetaspaceSummary                       42          2142
 jdk.G1HeapSummary                          42          1071
 jdk.StringFlag                             42          1314
 jdk.IntFlag                                41          1464
 jdk.NativeLibrary                          40          2998
 jdk.SafepointBegin                         33           448
 jdk.ExecuteVMOperation                     32           524
 jdk.DoubleFlag                             32          1410
 jdk.CompilationFailure                     31          1495
 jdk.UnsignedIntFlag                        30          1082
 jdk.G1MMU                                  22           286
 jdk.GCCPUTime                              22           332
 jdk.GCPhasePause                           22           510
 jdk.GarbageCollection                      21           471
 jdk.InitialSystemProperty                  21          1074
 jdk.ClassRedefinition                      20           220
 jdk.YoungGarbageCollection                 20           256
 jdk.G1GarbageCollection                    20           256
 jdk.EvacuationInformation                  20           556
 jdk.G1EvacuationYoungStatistics            20           552
 jdk.G1EvacuationOldStatistics              20           454
 jdk.G1BasicIHOP                            20           800
 jdk.G1AdaptiveIHOP                         20           830
 jdk.Compilation                            18           498
 jdk.ThreadEnd                              14           126
 jdk.ThreadCPULoad                          14           224
 jdk.GCPhasePauseLevel2                     10           347
 jdk.ResidentSetSize                         7           119
 jdk.ExceptionStatistics                     7            97
 jdk.CPULoad                                 7           133
 jdk.JavaThreadStatistics                    7            77
 jdk.ClassLoadingStatistics                  7            70
 jdk.CompilerStatistics                      7           203
 jdk.GCHeapMemoryPoolUsage                   6           230
 jdk.GCPhaseConcurrent                       6           274
 jdk.Deoptimization                          6           144
 jdk.CodeCacheStatistics                     6           192
 jdk.OldObjectSample                         5           162
 jdk.GCPhaseConcurrentLevel1                 4           149
 jdk.GCHeapMemoryUsage                       2            43
 jdk.MetaspaceGCThreshold                    2            32
 jdk.PhysicalMemory                          2            36
 jdk.GCConfiguration                         2            50
 jdk.Metadata                                1        103157
 jdk.RetransformClasses                      1            15
 jdk.MetaspaceAllocationFailure              1            14
 jdk.OldGarbageCollection                    1            12
 jdk.JavaErrorThrow                          1           113
 jdk.ActiveRecording                         1           116
 jdk.DirectBufferStatistics                  1            23
 jdk.JVMInformation                          1           613
 jdk.OSInformation                           1           249
 jdk.VirtualizationInformation               1            27
 jdk.CPUInformation                          1          1484
 jdk.CPUTimeStampCounter                     1            19
 jdk.CompilerConfiguration                   1            10
 jdk.CodeCacheConfiguration                  1            45
 jdk.GCSurvivorConfiguration                 1            10
 jdk.GCTLABConfiguration                     1            12
 jdk.GCHeapConfiguration                     1            26
 jdk.YoungGenerationConfiguration            1            17
 jdk.ContainerConfiguration                  1            74
 jdk.ContainerCPUUsage                       0             0
 jdk.ContainerCPUThrottling                  0             0
