
                                                                                                               Allocation by Site

Method                                                                                                                                                                                                                      Allocation Pressure
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- -------------------
model.ObjectValueScope.<init>(ViaductSchema, ViaductSchema$Object)                                                                                                                                                                       61.94%
java.util.LinkedHashMap.newNode(int, Object, Object, HashMap$Node)                                                                                                                                                                        5.85%
java.util.HashMap.resize()                                                                                                                                                                                                                3.73%
viaduct.utils.collections.BitVector.lsr()                                                                                                                                                                                                 2.40%
model.EngineObjectDataEntry$Companion.of(String, ViaductSchema$ObjectField, Object)                                                                                                                                                       2.39%
model.ObjectEngineResult$GroundKey$Companion.of(ViaductSchema$ObjectField, Arguments$Ground)                                                                                                                                              2.12%
viaduct.graphql.schema.ViaductSchema$TypeExpr.unwrapList()                                                                                                                                                                                2.03%
java.util.ArrayList.<init>(int)                                                                                                                                                                                                           1.57%
model.QPlanEngineObjectDataKt.engineObjectDataOf(ViaductSchema$Object, Iterable, boolean)                                                                                                                                                 1.46%
semantics.arbitrary.ObjectPlan.materializeObject$lambda$0(ObjectPlan, SourceSchemaAdapter, ViaductSchema, String, int, ObjectValueScope)                                                                                                  1.37%
model.ObjectValueScope.field(ViaductSchema$ObjectField, Pair[])                                                                                                                                                                           1.13%
java.util.HashSet.<init>(int, float, boolean)                                                                                                                                                                                             1.04%
java.util.Arrays.copyOf(Object[], int)                                                                                                                                                                                                    1.01%
java.util.LinkedHashMap$LinkedValues.toArray()                                                                                                                                                                                            0.90%
model.ObjectConstructionKt.objectOf(ViaductSchema, String, Function1)                                                                                                                                                                     0.88%
java.util.Collections.singletonIterator(Object)                                                                                                                                                                                           0.73%
kotlin.collections.builders.ListBuilderKt.arrayOfUninitializedElements(int)                                                                                                                                                               0.61%
java.util.ArrayList.<init>(Collection)                                                                                                                                                                                                    0.54%
java.lang.invoke.DirectMethodHandle.allocateInstance(Object)                                                                                                                                                                              0.53%
java.util.ArrayList.iterator()                                                                                                                                                                                                            0.53%
java.util.LinkedHashMap$LinkedKeySet.iterator()                                                                                                                                                                                           0.53%
model.ArgumentGroundingKt.groundWithBindings(Arguments, ViaductSchema$Field, Function1)                                                                                                                                                   0.48%
java.util.LinkedHashMap.sequencedValues()                                                                                                                                                                                                 0.48%
kotlin.collections.CollectionsKt___CollectionsKt.toMutableList(Collection)                                                                                                                                                                0.40%
kotlin.collections.builders.MapBuilder.<init>(int)                                                                                                                                                                                        0.38%
