
                                                                                                               Allocation by Site

Method                                                                                                                                                                                                                      Allocation Pressure
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- -------------------
semantics.resolver26.ResolverKt$resolve$3.invokeSuspend(Object)                                                                                                                                                                          47.41%
java.util.LinkedHashMap.newNode(int, Object, Object, HashMap$Node)                                                                                                                                                                        8.54%
jdk.internal.org.objectweb.asm.tree.Util.add(List, Object)                                                                                                                                                                                5.56%
java.util.HashMap.resize()                                                                                                                                                                                                                3.98%
model.ObjectValueScope.field(ViaductSchema$ObjectField, Pair[])                                                                                                                                                                           2.41%
model.ObjectEngineResult$GroundKey$Companion.of(ViaductSchema$ObjectField, Arguments$Ground)                                                                                                                                              2.33%
viaduct.utils.collections.BitVector.lsr()                                                                                                                                                                                                 2.29%
model.EngineObjectDataEntry$Companion.of(String, ViaductSchema$ObjectField, Object)                                                                                                                                                       1.97%
java.util.ArrayList.<init>(int)                                                                                                                                                                                                           1.84%
model.QPlanEngineObjectDataKt.engineObjectDataOf(ViaductSchema$Object, Iterable, boolean)                                                                                                                                                 1.74%
viaduct.graphql.schema.ViaductSchema$TypeExpr.unwrapList()                                                                                                                                                                                1.63%
model.ObjectValueScope.<init>(ViaductSchema, ViaductSchema$Object)                                                                                                                                                                        1.59%
java.util.ArrayList.iterator()                                                                                                                                                                                                            1.08%
semantics.arbitrary.ObjectPlan.materializeObject$lambda$0(ObjectPlan, SourceSchemaAdapter, ViaductSchema, String, int, ObjectValueScope)                                                                                                  1.01%
java.lang.invoke.DirectMethodHandle.allocateInstance(Object)                                                                                                                                                                              0.86%
java.util.ArrayList.<init>(Collection)                                                                                                                                                                                                    0.79%
java.util.LinkedHashMap$LinkedValues.toArray()                                                                                                                                                                                            0.68%
kotlin.collections.builders.ListBuilder.listIterator(int)                                                                                                                                                                                 0.64%
kotlin.collections.builders.ListBuilderKt.arrayOfUninitializedElements(int)                                                                                                                                                               0.63%
java.util.HashSet.<init>(int, float, boolean)                                                                                                                                                                                             0.63%
kotlin.collections.CollectionsKt__CollectionsJVMKt.createListBuilder()                                                                                                                                                                    0.62%
model.ObjectEngineResult$ObjectKey$Companion.of(ViaductSchema$ObjectField, Arguments)                                                                                                                                                     0.47%
semantics.arbitrary.ListPlan.materialize(ViaductSchema, ViaductSchema$TypeExpr, String, int)                                                                                                                                              0.45%
java.util.Collections.singletonIterator(Object)                                                                                                                                                                                           0.40%
model.ObjectValueScope.setTo(String, Object)                                                                                                                                                                                              0.39%
