
 Version: 2.1
 Chunks: 1
 Start: 2026-09-04 00:16:58 (UTC)
 Duration: 7 s

 Event Type                              Count  Size (bytes)
=============================================================
 jdk.GCPhaseParallel                     13387        326092
 jdk.PromoteObjectInNewPLAB               2474         43090
 jdk.ObjectAllocationSample               1134         18026
 jdk.ModuleExport                          711          7695
 jdk.BooleanFlag                           709         21883
 jdk.ThreadPark                            512         19239
 jdk.ExecutionSample                       488          5655
 jdk.ActiveSetting                         359         10360
 jdk.LongFlag                              196          6400
 jdk.UnsignedLongFlag                      190          6698
 jdk.TenuringDistribution                  165          1936
 jdk.ModuleRequire                         155          1550
 jdk.Checkpoint                            102        673132
 jdk.InitialEnvironmentVariable             99         11634
 jdk.ClassLoaderStatistics                  80          1994
 jdk.SystemProcess                          69         21827
 jdk.InitialSecurityProperty                47          3615
 jdk.ThreadAllocationStatistics             46           468
 jdk.MetaspaceChunkFreeListSummary          44           812
 jdk.GCReferenceStatistics                  44           460
 jdk.StringFlag                             42          1313
 jdk.IntFlag                                41          1464
 jdk.NativeLibrary                          40          3018
 jdk.GCPhasePauseLevel1                     33          1373
 jdk.DoubleFlag                             32          1410
 jdk.UnsignedIntFlag                        30          1082
 jdk.PromoteObjectOutsidePLAB               25           401
 jdk.Compilation                            25           709
 jdk.SafepointBegin                         24           344
 jdk.ExecuteVMOperation                     23           381
 jdk.GCHeapSummary                          22           879
 jdk.MetaspaceSummary                       22          1132
 jdk.G1HeapSummary                          22           582
 jdk.CompilationFailure                     22          1098
 jdk.InitialSystemProperty                  21          1071
 jdk.ClassRedefinition                      20           220
 jdk.OldObjectSample                        20           672
 jdk.ThreadEnd                              18           168
 jdk.ThreadCPULoad                          18           294
 jdk.GarbageCollection                      11           258
 jdk.YoungGarbageCollection                 11           148
 jdk.G1GarbageCollection                    11           148
 jdk.G1MMU                                  11           148
 jdk.EvacuationInformation                  11           316
 jdk.G1EvacuationYoungStatistics            11           303
 jdk.G1EvacuationOldStatistics              11           248
 jdk.G1BasicIHOP                            11           441
 jdk.G1AdaptiveIHOP                         11           461
 jdk.GCCPUTime                              11           183
 jdk.GCPhasePause                           11           258
 jdk.ResidentSetSize                         6           106
 jdk.GCHeapMemoryPoolUsage                   6           234
 jdk.CPULoad                                 6           118
 jdk.JavaThreadStatistics                    6            70
 jdk.ClassLoadingStatistics                  6            64
 jdk.CompilerStatistics                      6           178
 jdk.CodeCacheStatistics                     6           195
 jdk.ExceptionStatistics                     6            82
 jdk.Deoptimization                          5           121
 jdk.ThreadStart                             4            47
 jdk.GCHeapMemoryUsage                       2            44
 jdk.PhysicalMemory                          2            39
 jdk.GCConfiguration                         2            51
 jdk.Metadata                                1        103157
 jdk.RetransformClasses                      1            15
 jdk.ContainerConfiguration                  1            74
 jdk.JVMInformation                          1           609
 jdk.OSInformation                           1           249
 jdk.VirtualizationInformation               1            27
 jdk.CPUInformation                          1          1475
 jdk.CPUTimeStampCounter                     1            19
 jdk.NativeMethodSample                      1            11
 jdk.CompilerConfiguration                   1            10
 jdk.CodeCacheConfiguration                  1            45
 jdk.GCSurvivorConfiguration                 1            10
 jdk.GCTLABConfiguration                     1            12
 jdk.JavaErrorThrow                          1           113
 jdk.GCHeapConfiguration                     1            26
 jdk.YoungGenerationConfiguration            1            17
 jdk.ActiveRecording                         1           113
 jdk.DirectBufferStatistics                  1            24
 jdk.JavaMonitorEnter                        0             0
 jdk.JavaMonitorWait                         0             0
 jdk.JavaMonitorInflate                      0             0
 jdk.SyncOnValueBasedClass                   0             0
 jdk.ContinuationFreeze                      0             0
 jdk.ContinuationThaw                        0             0
 jdk.ContinuationFreezeFast                  0             0
 jdk.ContinuationFreezeSlow                  0             0
 jdk.ContinuationThawFast                    0             0
 jdk.ContinuationThawSlow                    0             0
 jdk.ReservedStackActivation                 0             0
 jdk.ClassLoad                               0             0
 jdk.ClassDefine                             0             0
 jdk.RedefineClasses                         0             0
 jdk.ClassUnload                             0             0
 jdk.IntFlagChanged                          0             0
 jdk.UnsignedIntFlagChanged                  0             0
 jdk.LongFlagChanged                         0             0
 jdk.UnsignedLongFlagChanged                 0             0
 jdk.DoubleFlagChanged                       0             0
 jdk.BooleanFlagChanged                      0             0
 jdk.StringFlagChanged                       0             0
 jdk.MetaspaceGCThreshold                    0             0
 jdk.MetaspaceAllocationFailure              0             0
 jdk.MetaspaceOOM                            0             0
 jdk.PSHeapSummary                           0             0
 jdk.SystemGC                                0             0
 jdk.ParallelOldGarbageCollection            0             0
 jdk.OldGarbageCollection                    0             0
 jdk.ObjectCountAfterGC                      0             0
 jdk.PromotionFailed                         0             0
 jdk.EvacuationFailed                        0             0
 jdk.ConcurrentModeFailure                   0             0
 jdk.GCPhasePauseLevel2                      0             0
 jdk.GCPhasePauseLevel3                      0             0
 jdk.GCPhasePauseLevel4                      0             0
 jdk.GCPhaseConcurrent                       0             0
 jdk.GCPhaseConcurrentLevel1                 0             0
 jdk.GCPhaseConcurrentLevel2                 0             0
 jdk.ContainerCPUUsage                       0             0
